order_id,order_date,product_id,product_category,quantity,unit_price,customer_id
1001,2023-05-01,P001,Electronics,2,99.99,C001
1002,2023-05-02,P002,Clothing,1,29.95,C002
1003,2023-05-03,P003,Books,3,14.99,C001
1004,2023-05-04,P004,Electronics,1,249.99,C003
1005,2023-05-05,P005,Clothing,2,39.95,C002
1006,2023-05-06,P001,Electronics,1,99.99,C004
1007,2023-05-07,P002,Clothing,3,29.95,C001
1008,2023-05-08,P003,Books,2,14.99,C003
1009,2023-05-09,P004,Electronics,1,249.99,C002
1010,2023-05-10,P005,Clothing,1,39.95,C004
